Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Release Version,Feature Area
"1213071351300767",2026-02-01,,2026-02-01,Support multiple users on sunny simultaneously,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300769",2026-02-01,,2026-02-01,"On account creation, assign users # from Twilio",,,,,,,,,Support multiple users on sunny simultaneously,,,,
"1213168650259491",2026-02-07,,2026-02-07,"Need to fix which categories show up on top level, which are overflow (And overflow needs to show everything)",Not Started,,,,,,,ScarsdaleBuzz,,,,Directory Launch,Directory
"1213071416815034",2026-02-01,,2026-02-01,Need to add proper telemetry (across everything),In Progress,,,,2026-03-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213071351300801",2026-02-01,,2026-02-01,Implement,,,,,,,,,Need to add proper telemetry (across everything),,,,
"1213071351300802",2026-02-01,,2026-02-01,Test,,,,,,,,,Need to add proper telemetry (across everything),,,,
"1213071351300803",2026-02-01,,2026-02-01,Implement Metrics,,,,,,,,,Need to add proper telemetry (across everything),,,,
"1213071408946738",2026-02-01,,2026-02-01,Build Mobile App (iOS),In Progress,,,,2026-04-15,,Release Version: Sunny Beta Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Beta Launch,Mobile App - iOS
"1213071351300656",2026-02-01,,2026-02-01,Complete FB Verification,In Progress,,,,2026-02-28,,,ScarsdaleBuzz,,,,Directory Launch,Login / Onboarding
"1213071351300707",2026-02-01,,2026-02-01,Data Quality,In Progress,,,,2026-02-28,,,ScarsdaleBuzz,,,,Directory Launch,Directory
"1213071351300791",2026-02-01,2026-02-01,2026-02-01,Add my providers,,,,,,,,,Data Quality,,,,
"1213071351300792",2026-02-01,2026-02-01,2026-02-01,Add in the body shops from the greenacres Gang chat,,,,,,,,,Data Quality,,,,
"1213071351300795",2026-02-01,,2026-02-01,Get data quality under 25% incomplete,,,,,,,,,Data Quality,,,,
"1213046186387782",2026-02-01,2026-02-01,2026-02-01,Switch to FB Login and build admin approval,Complete,,,,2026-02-28,,Release Version: Directory Launch\nNotion Status: In progress,ScarsdaleBuzz,,,,Directory Launch,
"1213047030382721",2026-02-01,2026-02-10,2026-02-10,Consolidate categories,Complete,,,,2026-02-28,,Release Version: Directory Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch,Directory
"1213071351300799",2026-02-01,2026-02-01,2026-02-01,Build Tool,,,,,,,,,Consolidate categories,,,,
"1213071351300800",2026-02-01,2026-02-10,2026-02-10,Run Tool,,,,,,,,,Consolidate categories,,,,
"1213071397723010",2026-02-01,2026-02-01,2026-02-01,Build a pre-prod environment,Complete,,,,2026-03-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch FF,
"1213071397018037",2026-02-01,2026-02-01,2026-02-05,When you tap a category the search should get clearer,Complete,,,,2026-02-28,,Release Version: Directory Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch,Directory
"1213071397713540",2026-02-01,2026-02-01,2026-02-01,Get Approval of Scarsdale Buzz Admins,Complete,,,,2026-02-28,,Release Version: Directory Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch,
"1213071420517682",2026-02-01,2026-02-01,2026-02-01,Need to provide chrome MCP tools to cursor for debugging.,Complete,,,,,,Release Version: TBD\nNotion Status: Not started,ScarsdaleBuzz,,,,,
